title,source,link,price,delivery,imageUrl,rating,ratingCount,offers,productId,position
Adidas Own The Game 11.5 Men's Black,eBay - stestev.8g5vkd9vn,https://www.ebay.com/itm/256341273895?chn=ps&mkevt=1&mkcid=28&google_free_listing_action=view_item&srsltid=AfmBOornx__GGcRev02RvjKfBK2_2oQ0h9olzv0WwgQUIjx9UuOPxLriC6g,$59.89 used,Free shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSXjZTcl9Q8K5-gBAQTBF4mnz6_kSeHkrZmxBkDqG-R1LOAQ8stQh6Tqt_WJbeEnCVmf8Kt0A&usqp=CAE,4.5,29,2,5718381051483380189,11
Adidas Originals Handball Spezial Trainers Red,Stadium Goods,http://www.stadiumgoods.com/products/handball-spezial-scarlet-white-119606?variant=44203002855620&country=US&srsltid=AfmBOoqRNXATeku6WFHiYoKKtL6Ibzi1a-bl8m2Kg7Lz-am8Grs8YrebmDo,$633.00,$16.00 shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTJSO_PhEXecUTgFpDyJTLrk8YyL75NrALcadiHE9mUBO-IUIvwvI1V_UhehoAwc-XgRMs&usqp=CAE,4.5,2,5+,3822194230004189795,12
Adidas Handball Spezial Silver Green Magic Mauve IH4891 | Size US 6,Laced,https://www.laced.com/products/adidas-handball-spezial-silver-green-magic-mauve?eu_size=38+2%2F3&preferred_currency=USD&preferred_location=US&size_system=US&uk_size=5.5&us_size=6&srsltid=AfmBOopRO3xc_pc0l5l1SDgGE7cBF-3DYnOUIuoDAbpy9wA-AGofRkavbww,$152.00,$45.99 shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRhLGx1KQOZNejQRUDi9L0x_skb8RXZBqA8wle5pYCSZcTxLUfF3Fm7tQNhBcO3MNpNIpbO&usqp=CAE,4.5,3,3,10036634230788893721,13
Adidas Men's Run 72 Sneaker - Green - Low-top Sneakers - 9,Kohl's,https://www.kohls.com/product/prd-6899156/adidas-run-70s-20-mens-sneakers.jsp?skuid=47163769&CID=seo_offers&utm_campaign=SAG&utm_medium=organic&utm_source=google&utm_product=47163769,$70.00,Free shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS3DRGEGX8GBgCfaB3IHy6Qui0liyaXaKcnFQY6JxzQ-n_ANIlQXTa6hmllL0_hzjIFpsMx&usqp=CAE,4,23,3,2616285131355299525,14
Sneakers Adidas Handball Spezial Green,SVD-sivasdescalzo,https://www.sivasdescalzo.com/us/p/handball-spezial-ig6192?srsltid=AfmBOop6K-i6rfGRWvPEWJLAe0nQPkfXd8O9cbiiU4lTNsXV4xqYN2Hdak0,$91.00,$12.00 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQPaZ_WAR0sWaxETnHqLr01qWe7pIh1nfpAwMj221JH9cOqIvqIu5hUPzEOtKR52ANLvBIyVQ&usqp=CAE,5,5,5+,4349487845354086433,15
Adidas Advantage 2.0 Shoes Green Brown Women - 40(2/3),Deporvillage.net,https://www.deporvillage.net/adidas-advantage-20-shoes-green-brown-women?country=US&srsltid=AfmBOoqSiKJ0vYFAAxbo59KtQSz15a6R3Ckw-oOj6RFFRAKCdURG0ttrmUc,$63.30,$32.99 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTIbQU40TOItQheSsG-f-XRwMs_HoUv0_T6kwJPrlJv562-rq5BgCtaScApqLp3ypyxrPKG&usqp=CAE,5,1,16
"Adidas Men's Daily 4.0 Shoes, Size 11, Green/White/Gum",BeyondStyle,https://www.beyondstyle.us/prod/adidas-daily-40-sneaker?id=nordstromrack_7666435&utm_source=google_shopping&color=Collegiate-Green-White-Gum&size=11&srsltid=AfmBOoob261-1d-B7u0pjPcMgVJ_FzODho8gY8HH0I6V31xpCZVaU2WJKG4,$51.97,$9.95 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSS5ljs_mAiZxaeMW_c1H1uB1BYaelFz_LQMy2tE2hq9_6YW5eXAxzkEZE&usqp=CAE,4.5,292,3,11961509601884273566,17
Adidas Women's Breaknet Sleek Sneaker - Red - Low-top Sneakers - 5.5,Shoe Carnival,https://www.shoecarnival.com/womens_adidas_breaknet_suede_sneakers/67-3686622.html?color=356771,$59.98,$7.95 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR3Y8Ln6-xlbdYbRQxWgSqwm0M49ADZyhr1Fp09J5c51R1ac9awmxGNcD_P73CGyKtcCx2r&usqp=CAE,4.5,118,4,8765239205204249297,18
Adidas Handball Spezial 'Collegiate Green Gum' | Men's Size 8.5,snkrdunk.com/en,https://snkrdunk.com/en/sneakers/IF8913?srsltid=AfmBOopdAckDmPuqQryNJ5w8horKIyhhZhwcsJZGdn8ivFQoj5Rm_CVPHKI,$202.00,$14.00 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTBf3gDhmOVYmfC5qiqxoBNEtvetH8FHtJV5RtV_zB-FK1dPqkDjc7z8tIMGb9U0CZgTVh2&usqp=CAE,4.5,730,4,11858198278833045806,19
Adidas Originals Green Handball Spezial Sneakers,adidas,https://www.adidas.com/us/handball-spezial-shoes/JS2908.html,$110.00,$4.99 shipping,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcScCnXYPFE3tKzm9w0VVHFPztxOgMMEpBigRj_kf4Kjn2Spc6QoD3HodwiO&usqp=CAE,4,120,5+,2280243620529404228,20
