title,source,link,price,delivery,imageUrl,rating,ratingCount,offers,productId,position
Adidas Women%27s Mullaly Low Top Sneaker - Black - Low-top Sneakers - 13,Nordstrom Rack,https://www.nordstromrack.com/s/adidas-mullaly-low-top-sneaker-men/7759569?color=BLACK%252F%2BCARBON%252F%2BCLOUD&size=13&utm_source=google&utm_medium=organic&utm_campaign=seo_shopping&utm_channel=low_nd_seo_shopping&srsltid=AfmBOop2NREH1wQDWn7wFAlQYHCTVxMnSa0n02FehXfG6q2ntVsZZCMhrDY,$62.97,$9.95 shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcThRQuCfymN6-PKk1nn97TIFQ8TAkB3X7M7VBSI8aaWlf-Xxs-sns876dJPeNKQ56vW7vPVBg&usqp=CAE,None,None,2,3459993116768200091,None
Adidas Men%27s Switch FWD Running Shoes%2C Size 10.5%2C Black/White/Grey,Foot Locker,https://www.footlocker.com/product/~/ID1780.html?source=shoppingads&locale=en-US&SID=6936&inceptor=1&cm_mmc=paid%2520search-_-google-_-g-_-PLA-_-DPA-_--_-P-_-Prospecting-_--_-na-_--_-na-_-PLA-_-na-_--_--_-,$99.99,Free shipping,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTbpDr1R9P7HJjbfBDegEAl3xMozYJuetdU2OM8nUi7_76ueREEkHH-Ui4&usqp=CAE,None,None,5%2B,13082035195972930216,None
Womens Adidas Originals SL 72 - Running Shoes White/Black/Carbon Size 9.5,Champs Sports,https://www.champssports.com/product/~/JH7390.html?source=shoppingads&locale=en-US&SID=5510&inceptor=1&cm_mmc=paid%2520search-_-google-_-g-_-PLA-_-DPA-_--_-P-_-Prospecting-_--_-na-_--_-na-_-PLA-_-na-_--_--_-,$100.00,Free shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRf6nYWY4IcD3BAEt56gYgL4e3QjiZk0-py5anp6-pNErCuY9f42l8b4eL7OkgWhA3N99hB&usqp=CAE,None,None,10%2B,12903288431689873248,None
Adidas NMD_R1 Primeblue Men%27s Shoes Black Black / 9.5,farfetch.com,https://www.farfetch.com/shopping/men/adidas-nmdr1-primeblue-cblackcblack-sneakers-item-17597173.aspx?lang=en-US&fsb=1&size=28&storeid=11218,$148.00,$10.00 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSmtO2BwjPqiaIzC0rbuScZa_7-wiSiWLEhXZ7MZeSDsR6OhixLfIxLdWArj3g6C9r3z3Em&usqp=CAE,None,None,10%2B,15754977013242068027,None
Adidas Running Pureboost 5 Running Shoes - Black/White/Grey - 9,6pm.com,https://www.6pm.com/product/9953683/color/15577?utm_medium=fpa&utm_campaign=free_listings,$59.00,$3.95 shipping,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTkD7hFfekoXVWfULXucljKccm2DTyldrEltxNrU0eNNsDLP7vfAsonA-cfsWGXDxlNRPqY4Q&usqp=CAE,None,None,5%2B,5348895368070551582,None
Adidas Men%27s Grand Court 2.0 Sneakers %7C Black/White %7C Size 14,adidas,https://www.adidas.com/us/grand-court-shoes/GW9196.html,$70.00,$4.99 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQmMopVn98iIuLvgY0DE8qxdM5XfqltKhsE_Vs9byrKVpn6Y9d6vLLHdJ4cY23KZBooWxGwRA&usqp=CAE,None,None,5%2B,12329706468869086739,None
Adidas Men%27s Kaptir 3.0 Shoes%2C Size 9.5%2C Green/Grey,Rack Room Shoes,https://www.rackroomshoes.com/p/adidas-mens-kaptir-3-0-sneaker/601870?utm_source=google&utm_medium=organicshopping&utm_campaign=adidas,$84.97,Free shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQgf7KfdaLgWUIT2z3BbZO3k3iB6HmcPqFhVrAVExs_OAmsPxmsktirLnGKP_KzV_0hacvOtQ&usqp=CAE,None,None,2,14408662285541180411,None
Adidas Daily 4.0 - Black/Carbon/Gum - Men%27s 13%2C Women%27s 14,BeyondStyle,https://www.beyondstyle.us/prod/adidas-daily-40-sneaker?id=nordstromrack_7666435&utm_source=google_shopping&color=Black-Carbon-Gum&size=14-Womens-13-Mens&srsltid=AfmBOooDuwMDlwzWjtAbHr4JOeA54dEremCXRu9_jw0FVgCDdCPCUyZ_8SI,$51.97,$9.95 shipping,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT-bxhY5H3EtezrJmuxflfXhqfvfdlBGSlvYIqxYY3VC2C07M8rLM4vgfyhxRDwSDrTZJ05Ww&usqp=CAE,None,None,5%2B,13629842699303462898,None
Adidas Men%27s NMD_R1 Primeblue Shoes Core Black / 8.5,Shoe Palace,https://www.shoepalace.com/products/adidas-gz9256-nmd-r1-prime-blue-mens-running-shoe-black?currency=USD&variant=40287790137550&utm_source=google&utm_medium=cpc&utm_campaign=Google%2520Shopping&stkn=50a31c65b298,$130.00,$10.95 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSuoHiZPY7KQaHIDkIT2tEqHNiJUKxNdFQJEWLtsU8yUKCtG9fSgu-Fxl2k&usqp=CAE,None,None,10%2B,4926947345232878718,None
Adidas Questar 3 Men%27s Running Shoes%2C Size: 13%2C Silver Pebble Olive,Lyst,https://www.lyst.com/shoes/adidas-questar-3-running-shoe-18/?product=QUCYWNE&link_id=1066311495&_country=US&size=13&show_express_checkout=true&atc_medium=cpc&atc_campaign=USA-PLA-FL&srsltid=AfmBOoptQlUV1KvqLofpvWbxfAWXTLSxcA234k7Sm8l4AtAMGhOgd4hvs6o,$62.97,$9.95 shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQIDM7-CjirQ7b7BVdD45CiMYHEqTVWY07maKOY6IMfujjJSchCDRY37kn9UzndvlweSC2Y&usqp=CAE,None,None,5%2B,15652673226649894443,None
