title,source,link,price,delivery,imageUrl,rating,ratingCount,offers,productId,position
Puma Pacer Future Men%27s Sneakers%2C Black%2C 13,Poshmark,https://poshmark.com/listing/Puma-Mens-Pacer-Future-Shoe-size-13-65031b2c3b982a0945b67039?srsltid=AfmBOope_BWxuLfgayK25ovnCvVSHMCpbrex0-YTLsqzA1ae-6Fh6x0xjXA%23utm_source=gdm_unpaid,$35.00 used,$7.97 shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSMmeoGq8OZIJGNYvitQcKvy7s0R3dtw6IHktjJZyapsRcWT0N9uq8WUYy_7TXDLvrL-mW5&usqp=CAE,None,None,3,393267060783446430,None
Puma Softride Pro Echo Slip-On Women%27s Running Shoes%2C Black%2C 9.5,Amazon.com - Seller,https://www.amazon.com/Puma-Womens-Softride-Running-Sneakers/dp/B0CYWHZGBW?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AG670YE9WDQRF,$64.95,Free shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRede2cHRIJZPMzNAk4_jJ-B_URYaxcXMeAASR6CJVUbwlIy1x8oIDVamOaQ_mn0_Y4CvzwWg&usqp=CAE,None,None,2,2662180862507553705,None
Puma Men%27s Ignite Elevate 2 Golf Shoes%2C 13 W%2C Navy/Silver,PUMA Golf,https://www.pumagolf.com/products/ignite-elevate-2-wide-golf-shoes?variant=41892217782345&srsltid=AfmBOooIlWDXN45dsYEbw52FUSqL2w5_vFKfUTN3h-HdGVgeSiBbkswNKx0,$130.00,Free shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSjrCS-UCzx6CVliEhpCXnasFDkrrOmgTuDgDv0nDPnjbKPHuVBHeIVlRSMGST26jQZ0rtdMQ&usqp=CAE,None,None,10%2B,12369287567469788520,None
Puma St Miler Mu 13 Men%27s Navy,ShoeMall,https://www.shoemall.com/product/puma-st-miler-mu-men-s-/1384134-3?utm_source=google_shopping&utm_medium=organic&srsltid=AfmBOope_WNJF1cWa3mPTH1J_FF77E5YXVhczpedY9MCQu0bwxE45W5hcW8,$64.99,Free shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQQRro-QmQYJ__RGuyEYqwC7wha36Q5xOErLRKXU2T8xyqETk625Bt3QiG-7yFdTaNedlQztg&usqp=CAE,None,None,3,970853366536441704,None
Puma Women%27s Cali G Spikeless Golf Shoes - 12 - Rosebay,Golf Galaxy,https://www.golfgalaxy.com/p/puma-womens-cali-g-golf-shoes-23pumwclgwhtxxxxxgsh/23pumwclgwhtxxxxxgsh?sku=25012604&srsltid=AfmBOoo2tGt0CJiym4MrlGZ8eAt5vtgvLPxmrgZXnTNWGcn3ad3UnzX4GUE,$99.99,Free shipping,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR539v074yGM8ThGy6jYVpw7YCzIJm6IOHth1f9vKahh5BllB0dCbyXywU&usqp=CAE,None,None,5%2B,1792291407541350588,None
Puma Men%27s Softride Rift 2.0 Running Shoes Khaki%2C 12 - Mens Active at Academy Sports,Academy Sports %2B Outdoors,https://www.academy.com/p/puma-mens-softride-rift-20-running-shoes?sku=khaki-12-d&gmc_feed=t,$49.99,Free shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRbfTgFD5hRV-xyJXSoM8uSTFzthJeqZXD9yktEIkWjQR-_Xod58IrcBBBuwnqrvRTeO5Qt&usqp=CAE,None,None,None
Puma Softride Rift Men%27s Running Shoes%2C Black%2C 13,GOAT,https://www.goat.com/sneakers/softride-rift-black-193733-04?srsltid=AfmBOopbaXF21MD2wWuLZXQkU9qeWdMmNRmsyq4zZ-lazFpzHnmMQZf8aTs,$121.00,$14.75 shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSF6nml4hZ16heWrUUvCl7wKRplXX3IjUO-WNzRRtv9DdXZmDaY69qAoKRxVfPdQKLGalxy_w&usqp=CAE,None,None,2,6130914702812844194,None
Puma Court Pro Men%27s Basketball Shoes%2C for All Time Red/Black%2C 13,Shoe Carnival,https://www.shoecarnival.com/mens_puma_court_pro_basketball_shoes/67-3714667.html?color=358918,$59.98,$7.95 shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTBv3Br5kJu8rGPSKUQ7OqkEFeo_A2Pv4uEvY5h8aDXjtzVEyoWMSVUPTUUK1_-50FpdVVgwA&usqp=CAE,None,None,5%2B,13360839845388232648,None
Puma Women%27s Softride Ruby Luxe Sneaker - Blue - Low-top Sneakers - 9,Nordstrom Rack,https://www.nordstromrack.com/s/puma-softride-ruby-luxe-sneaker-women/8124670?color=GREEN%2BFOG-PUMA%2BGOLD-GUM&size=9&utm_source=google&utm_medium=organic&utm_campaign=seo_shopping&utm_channel=low_nd_seo_shopping&srsltid=AfmBOorY4VwnA0TD1HoG4PALecKqf71Gll6AkNviwoVflUFdaG2NXe0kPUE,$49.97,$9.95 shipping,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRoyrqIyw9IkIUK2XWWm30i7YGVde53eBLciPzq869vBqUCx9_PCvXZS1Q&usqp=CAE,2,7405141966043159980,None
Puma Men%27s Caven 2.0 Sneaker,Shoe Station,https://www.shoestation.com/mens_puma_caven_2.0_sneakers/67-3324869.html?srsltid=AfmBOoowz1CV23SHVzMPs8kbMdGafgv42Vb87d0APdgP2gRsvZP2f69M1yA,$54.98,$8.95 shipping,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSIG4HsX_-ge1ijmrNFfsqFSBlGG94_D9ekjIa0fnLZLYLSbfdghQtfR5lxz0_AdMKbLvDK&usqp=CAE,None,None,4,2441776163391611343,None
